,Mx,My,Mz,Pot1,Pot2
0,-317.33965941278154,-494.2455503723992,-151.4731592287569,477,948
1,-326.3695909255,-496.2455503723992,-146.40593883531938,480,947
2,-324.3695909255,-494.2455503723992,-153.53738285439795,478,947
3,-317.396305353671,-492.85328286922686,-136.53738285439795,478,947
4,-327.33965941278154,-492.638450111083,-142.53738285439795,477,946
5,-311.396305353671,-485.638450111083,-156.53738285439795,477,946
6,-309.3695909255,-459.85328286922686,-168.53738285439795,479,939
7,-294.396305353671,-429.638450111083,-169.53738285439795,472,920
8,-277.396305353671,-400.0319825512696,-181.59861453017993,465,897
9,-268.383348815829,-379.07064270545067,-194.4731592287569,460,878
10,-253.41982604649343,-356.85328286922686,-202.3357168561488,453,856
11,-225.49678773822075,-315.2163807407609,-205.2624884733077,446,821
12,-231.33901999686395,-162.40649001946952,-209.02471672339425,451,755
13,-228.32368785977337,-173.40649001946952,-226.7597138947192,446,744
14,-223.32368785977337,-176.2163807407609,-217.7597138947192,447,742
15,-247.35366169016356,-154.40649001946952,-223.6653057839526,458,745
16,-266.33901999686395,-128.40649001946952,-209.02471672339425,473,760
17,-273.30766819754183,-242.40649001946952,-183.93941454650303,473,816
18,-281.2909639288192,-312.60232296916416,-179.851081876257,474,859
19,-279.30766819754183,-352.40273096606086,-173.6653057839526,474,881
20,-284.30766819754183,-451.2056921365578,-149.93941454650303,462,909
21,-292.30766819754183,-501.80389217161354,-147.2624884733077,476,933
22,-294.3236878597734,-491.8192889100783,-146.1862488688596,475,944
23,-288.35366169016356,-449.60232296916416,-165.10699322486744,473,920
24,-266.33901999686395,-336.40273096606086,-163.851081876257,470,848
25,-261.35366169016356,-163.61244864687328,-189.6653057839526,475,775
26,-253.33901999686395,-129.61244864687328,-215.6653057839526,471,750
27,-250.3676100210223,-134.8044644179363,-214.93941454650303,467,745
28,-241.29096392881922,-140.2163807407609,-215.02471672339425,465,746
29,-255.3676100210223,-132.40649001946952,-214.851081876257,469,746
30,-262.3236878597734,-126.21638074076091,-198.851081876257,473,756
31,-271.3676100210223,-205.20307524583734,-190.851081876257,474,798
32,-279.35366169016356,-294.2056921365578,-181.851081876257,474,840
33,-288.3676100210223,-384.80389217161354,-156.10699322486744,485,878
34,-284.35366169016356,-470.41492924765373,-147.851081876257,473,909
35,-300.3676100210223,-499.01121020858636,-147.02471672339425,475,933
36,-291.35366169016356,-492.80389217161354,-144.93941454650303,474,943
37,-286.3808620707905,-455.80389217161354,-163.10699322486744,474,930
38,-276.3676100210223,-403.40273096606086,-163.10699322486744,472,896
39,-264.3676100210223,-345.0022080539082,-181.93941454650303,468,859
40,-259.33901999686395,-261.60232296916416,-189.93941454650303,468,821
41,-264.3676100210223,-183.8044644179363,-206.7597138947192,471,783
42,-254.3808620707905,-133.61244864687328,-221.7597138947192,469,750
43,-249.3808620707905,-133.40649001946952,-208.6653057839526,467,741
44,-260.3808620707905,-129.00915158444568,-217.851081876257,472,743
45,-258.3676100210223,-120.80446441793629,-217.6653057839526,474,750
46,-270.33901999686395,-177.8044644179363,-200.851081876257,475,783
47,-276.3676100210223,-266.40273096606086,-188.7597138947192,486,821
48,-284.33901999686395,-348.80389217161354,-176.851081876257,486,864
49,-290.39341492081803,-436.01121020858636,-161.02471672339425,474,896
50,-295.3236878597734,-491.0022080539082,-151.851081876257,476,923
51,-312.3236878597734,-507.6081313268849,-139.10699322486744,474,938
52,-313.33901999686395,-505.01121020858636,-146.851081876257,475,950
53,-286.33901999686395,-466.6081313268849,-149.02471672339425,476,948
54,-277.35366169016356,-426.40273096606086,-165.02471672339425,471,911
55,-259.3236878597734,-389.2056921365578,-173.93941454650303,467,886
56,-251.32368785977337,-347.60232296916416,-185.10699322486744,464,861
57,-248.35366169016356,-294.40273096606086,-185.7597138947192,463,829
58,-253.3676100210223,-245.20307524583734,-205.93941454650303,464,805
59,-248.30766819754183,-163.20307524583734,-209.7597138947192,466,763
60,-249.3676100210223,-152.61244864687328,-219.851081876257,461,747
61,-240.3808620707905,-155.61244864687328,-226.851081876257,460,746
62,-248.30766819754183,-146.40649001946952,-215.7597138947192,463,746
63,-249.33901999686395,-142.61244864687328,-221.7597138947192,465,747
64,-269.35366169016356,-120.80446441793629,-222.7597138947192,473,748
65,-274.35366169016356,-159.40649001946952,-196.6653057839526,475,765
66,-277.35366169016356,-200.20307524583734,-197.93941454650303,474,797
67,-284.3676100210223,-263.0022080539082,-190.02471672339425,473,836
68,-290.33901999686395,-353.0022080539082,-165.7597138947192,476,867
69,-289.30766819754183,-449.40273096606086,-145.10699322486744,474,899
70,-305.3236878597734,-502.01121020858636,-127.1862488688596,474,926
71,-315.30766819754183,-507.8192889100783,-133.93941454650303,475,939
72,-302.30766819754183,-503.01121020858636,-136.02471672339425,475,947
73,-299.2909639288192,-506.2056921365578,-138.10699322486744,475,952
74,-307.2909639288192,-495.6081313268849,-127.93941454650303,473,956
75,-306.3236878597734,-501.01121020858636,-144.02471672339425,470,954
76,-313.35366169016356,-495.8192889100783,-129.02471672339425,475,956
77,-311.3808620707905,-503.6081313268849,-139.02471672339425,474,987
78,-309.3236878597734,-503.6081313268849,-130.02471672339425,475,955
79,-310.3676100210223,-503.01121020858636,-139.93941454650303,475,956
80,-310.33901999686395,-504.2056921365578,-127.7597138947192,475,955
81,-315.3676100210223,-505.6081313268849,-137.93941454650303,478,955
82,-319.3676100210223,-503.2056921365578,-134.1862488688596,477,956
83,-316.3676100210223,-503.01121020858636,-128.2624884733077,476,956
84,-319.39341492081803,-509.6081313268849,-138.02471672339425,477,955
85,-315.405265652455,-503.2056921365578,-129.02471672339425,476,955
86,-315.405265652455,-506.6081313268849,-130.56785272602042,476,955
87,-315.405265652455,-504.01121020858636,-129.1862488688596,478,955
88,-313.3676100210223,-503.2056921365578,-137.7597138947192,478,955
89,-322.39341492081803,-502.01121020858636,-141.02471672339425,476,955
90,-317.39341492081803,-504.01121020858636,-126.02471672339425,475,955
91,-320.4455890221002,-497.8192889100783,-125.85108187625701,476,955
92,-320.4455890221002,-502.41492924765373,-126.02471672339425,475,955
93,-319.4614621116825,-498.01121020858636,-138.1862488688596,475,954
94,-315.41641134705173,-498.6081313268849,-132.1862488688596,477,955
95,-317.4365759505241,-500.6081313268849,-123.93941454650303,475,955
96,-319.4455890221002,-497.6081313268849,-132.7597138947192,476,955
